A Thousand Horses;Livin' My Best Life;0.948
A Thousand Horses;Trailer Trashed;0.944
ABBA;Waterloo;0.926
Alice Cooper;Poison;0.908
Alice Cooper;Feed My Frankenstein;0.917
The All-American Rejects;Dirty Little Secret;0.942
The All-American Rejects;Move Along;0.922
Andrew W.K.;Party Hard;0.992
Andrew W.K.;She Is Beautiful;0.955
Andrew W.K.;We Want Fun;0.92
Andrew W.K.;It's Time To Party;0.984
Andrew W.K.;I Get Wet;0.995
Andrew W.K.;Music Is Worth Living For;0.994
Andrew W.K.;Girls Own Love;0.958
Andrew W.K.;Party Til You Puke;0.995
Anthrax;Caught In A Mosh;0.991
Anthrax;Indians;0.941
Anthrax;Got The Time;0.908
Anthrax;I Am The Law;0.987
Anthrax;Among The Living;0.987
Apache Indian;Raggamuffin Girl;0.965
Arcade Fire;Rebellion (Lies);0.933
Arcade Fire;Ready to Start;0.932
Arcade Fire;Creature Comfort;0.949
Beastie Boys;Sabotage;0.938
Beastie Boys;So What'Cha Want - 1999 - Remaster;0.978
Beck;Night Running;0.946
Beck;Up All Night;0.908
Beck;Dreams;0.938
Beck;Saw Lightning;0.911
